ID,plot,sampling,treatment,Total_VOCs,Ca,rank_Ca,P,rank_P,Mg,rank_Mg,K,rank_K,Na,rank_Na,Fe,rank_Fe,Mn,rank_Mn,Zn,rank_Zn,Cu,rank_Cu
7_hxn_Oct_2018,7,three,hxn,103.66,0.4,4,0.12,6,0.07,2,0.14,6,0.01,2,1061,45,542,35,34,5,8,4
5_h_Aug_2018,5,two,heated,81.48,0.51,12,0.09,3,0.09,3,0.11,3,0.01,2,1079,46,527,31,53,18,8,4
1_c_Oct_2019,1,five,control,45.41,0.49,11,0.12,6,0.13,7,0.29,18,0.01,2,1153,47,538,34,35,6,8,4
1_c_Aug_2018,1,two,control,73.95,0.61,22,0.11,5,0.1,4,0.12,4,0,1,1173,48,569,41,47,15,9,5
7_hxn_June_2018,7,one,hxn,98.57,0.51,12,0.1,4,0.09,3,0.1,2,0.01,2,1347,49,560,39,37,7,8,4
4_hxn_Aug_2018,4,two,hxn,225.43,0.48,10,0.09,3,0.07,2,0.1,2,0.01,2,1348,50,532,32,33,4,8,4
3_hxn_Oct_2019,3,five,hxn,104.17,0.54,15,0.12,6,0.16,10,0.39,22,0.01,2,1348,50,575,42,33,4,8,4
3_hxn_Oct_2018,3,three,hxn,187.59,0.57,18,0.11,5,0.11,5,0.14,6,0.01,2,2205,51,581,44,37,7,10,6
3_hxn_June_2018,3,one,hxn,53.29,0.42,5,0.07,1,0.13,7,0.11,3,0.01,2,3936,52,488,22,35,6,8,4
1_c_Oct_2018,1,three,control,36.85,0.47,9,0.14,8,0.12,6,0.13,5,0.01,2,5286,53,867,55,54,19,12,7
1_c_June_2018,1,one,control,112.78,0.45,7,0.11,5,0.15,9,0.14,6,0.01,2,6265,54,779,53,47,15,9,5
3_hxn_Sept_2019,3,four,hxn,102.09,0.26,2,0.1,4,0.15,9,0.14,6,0.02,3,8348,55,498,27,37,7,10,6
3_hxn_Aug_2018,3,two,hxn,138.69,0.19,1,0.1,4,0.12,6,0.13,5,0.02,3,8670,56,347,2,34,5,9,5
