acid,alcohol,aldehyde,alkane,alkene,Bz,ester,furan,halogen,isoprene,ketone,MT,nitro,oBz,oMT,oST,other,ovoc,ST,sulfo,treatment,ID,,,,sesquiterpene,other,monoterpene,ketone,isoprene,halogen,furan,ester,benzenoid,alkene,alkane,aldehyde,alcohol,acid,
0,0.45,7.83,13.7,0,0.13,0.83,2.67,0.07,2.21,2.31,11.57,1.52,15.35,0.17,0.03,2.6,0.09,0.12,0.01,H,5_h_June_2018,,,nitrogen,0.013350329,2.925886487,11.87972319,9.048693304,0.844788445,12.53008799,2.769595644,2.542284178,0.167212541,2.001122814,3.068251762,1.009222608,2.827167701,4.012049554,
0,5.02,6.04,26.99,2.91,3.36,4.37,4.29,0.09,0.53,2.19,3.65,1.64,20.31,0.2,0.86,3.62,7.15,0.35,0,H,5_h_Oct_2018,,,HxN,0.016329932,9.318119363,13.50933978,16.21752263,0.785102901,10.08373451,1.747833693,0.827439292,0.103578817,0.548303506,7.641750665,2.002653002,2.939119303,5.770080682,
0,4.12,0,3.2,0.12,0.15,0.16,0.41,0.31,0.06,0.01,0.15,1.28,3.95,0,5.97,0.19,10.32,24.93,0,H,5_h_Oct_2019,,,,,,,,,,,,,,,,,,
0,0,0,7.29,0.34,2.67,0.75,0.28,0,0,1.33,0.03,0.48,0.67,0,0,0.03,0.34,6.14,0,H,5_h_Sept_2019,,,,,,,,,,,,,,,,,,
0,13.5,36.76,48.12,2.51,3.34,13.58,3.2,0.36,15.73,14.57,8.28,2.32,65.71,0.59,3,4.06,12.54,1.43,0,H,8_h_Aug_2018,,,,,,,,,,,,,,,,,,
0.08,2.22,33.85,49.12,0,4.08,10.01,5.77,0,2.08,5.36,1.15,3.33,115.91,0.76,0.74,3.07,3.44,0.59,0.05,H,8_h_June_2018,,,,,,,,,,,,,,,,,,
0,20.38,22.99,46.63,1.22,2.69,5.51,2.06,0.09,0.25,3.36,7.07,2.19,19.98,0.51,2.33,2.51,8.21,0.8,0,H,8_h_Oct_2018,,,,,,,,,,,,,,,,,,
0,0,0,9.07,0.37,6.1,1.44,0.46,0,0.23,0.09,0.07,3.36,2.44,0,0,0.36,2.29,0,0,H,8_h_Oct_2019,,,,,,,,,,,,,,,,,,
0,0,0.11,5.19,1.16,2.37,0.13,0.74,0,4.18,0.15,0.04,0.01,0.34,0,0,1.2,0.4,1.7,0,H,8_h_Sept_2019,,,,,,,,,,,,,,,,,,
0,7.34,11.44,22.68,1.07,4.65,5.91,1.71,0.34,0,4.19,6.97,2.63,57.57,0.28,1.91,0.32,9.03,0.65,0,HxN,3_hxn_Aug_2018,,,,,,,,,,,,,,,,,,
0,0.63,20.88,9.4,1.1,4.37,0.19,0.13,0.32,3.67,2.39,0.04,1.31,2.03,0.56,0.04,5.7,0.38,0.15,0,HxN,3_hxn_June_2018,,,,,,,,,,,,,,,,,,
0,12.18,24.14,43.2,1.72,8.57,8.44,4.36,0.1,0.52,3.75,12.39,2.46,44.83,0.89,3.89,2.23,12.59,1.33,0,HxN,3_hxn_Oct_2018,,,,,,,,,,,,,,,,,,
0.02,0,0.08,23.04,3.39,13.01,0.04,0.55,0,0,0.15,1.44,0.54,4.88,0.02,0,2.83,2.09,52.09,0,HxN,3_hxn_Oct_2019,,,,,,,,,,,,,,,,,,
0,0.31,13.21,17.86,0.47,8.3,1.52,2.87,0.11,0,2.4,7.63,2.25,1.69,2.23,3.22,1.12,31.56,5.34,0,HxN,3_hxn_Sept_2019,,,,,,,,,,,,,,,,,,
0,8.97,12.74,105.02,1.93,10.09,3.26,4.27,0.43,0,9.41,8.93,3.27,37.15,0.72,5.05,0.38,11.15,2.66,0,HxN,4_hxn_Aug_2018,,,,,,,,,,,,,,,,,,
0.01,64.69,95.01,70.6,5.11,0.8,1.08,0.21,0.03,0.99,53.13,3.01,0.18,25.41,1.65,0.99,3.1,4.76,0.87,1.15,HxN,4_hxn_June_2018,,,,,,,,,,,,,,,,,,
0,3.39,3,10.97,2.07,0.57,0.17,0.41,0.48,0,0.44,0.07,0.61,1.62,0.56,0,2.73,12.36,0.03,0,HxN,4_hxn_Oct_2019,,,,,,,,,,,,,,,,,,
0,0,0,0.57,0.14,1.02,0.07,0.06,0,0,0,0,0,0.2,0,0,0.11,0.02,0.93,0,HxN,4_hxn_Sept_2019,,,,,,,,,,,,,,,,,,
0,9.45,8.26,23.89,1.2,1.93,8.79,1.92,0.15,0,2.63,3.88,2.11,58.57,0.2,1.52,0.58,11.48,0.46,0,HxN,7_hxn_Aug_2018,,,,,,,,,,,,,,,,,,
0.11,3.2,22.91,13.88,0,1.11,4.65,2.25,0,0.07,3.92,0.88,1.31,37.08,0.67,1.43,3.34,0.99,0.73,0.04,HxN,7_hxn_June_2018,,,,,,,,,,,,,,,,,,
0,7.33,3.65,35.73,2.24,5.19,2.78,1.76,0.42,0.73,2.79,10.25,1.26,18.69,0.37,0.55,2.13,7.6,0.19,0,HxN,7_hxn_Oct_2018,,,,,,,,,,,,,,,,,,
0,0,0.54,2.29,0.43,0.64,0.18,0.15,0,0.1,0.09,0.06,0.52,2.85,0,1.19,0.05,4.54,19.27,0,HxN,7_hxn_Oct_2019,,,,,,,,,,,,,,,,,,
0,0,5.22,3.64,0.3,1.54,0.09,0.69,0,0,1.12,0.14,0,0.44,0,0,0.42,0.33,0,0,HxN,7_hxn_Sept_2019,,,,,,,,,,,,,,,,,,
0,5.28,14.7,30.41,4.73,4.3,15.54,3.85,0.52,10.36,2.47,2.76,1.85,66.63,0.09,1.1,5.15,19.37,0.14,0,N,11_n_Aug_2018,,,,,,,,,,,,,,,,,,
0,10.67,3.82,46,1.51,3.08,6.73,5.09,0.08,1.17,3.23,3.81,2.83,24.78,0.31,1.36,3.04,8.73,0.61,0,N,11_n_Oct_2018,,,,,,,,,,,,,,,,,,
0,0,0,11.29,0.29,0.67,0.14,0.49,0,0,0.16,0.12,0.44,1.48,0.15,17.85,0.85,20.9,0.53,0,N,11_n_Oct_2019,,,,,,,,,,,,,,,,,,
0,0.29,0.08,26.16,0.47,3.79,1.94,0.13,0,3.67,3.77,0.18,0.23,2.76,0,2.77,0.2,8.55,34.41,0,N,11_n_Sept_2019,,,,,,,,,,,,,,,,,,
0,4.45,6.41,18.45,4.58,6.03,1.35,2.08,1.06,10.59,8.76,7.7,1.44,31.27,0.11,0.92,0.25,5.25,0.17,0,N,6_n_Aug_2018,,,,,,,,,,,,,,,,,,
0.09,2.36,30.57,21.08,0.36,2.54,1.73,4.42,0.03,2.07,8.77,1.31,1.36,71.16,0.55,0.32,1.95,1.5,0.47,0.09,N,6_n_June_2018,,,,,,,,,,,,,,,,,,
0,15.45,10.3,50.1,0.83,1.93,13.4,2.12,0.02,0.17,2.04,4.02,2.1,65.7,0.48,4.9,2.1,16.29,1.56,0,N,6_n_Oct_2018,,,,,,,,,,,,,,,,,,
0.01,5.08,67.1,16.11,1.55,2.39,0.43,4.25,0,0.23,4.38,0.57,0.39,4.03,2.42,0.5,2.26,9.39,0.2,0,N,6_n_Oct_2019,,,,,,,,,,,,,,,,,,
0,0.11,7.95,5.22,0.38,2.23,0.1,1.14,0,0,1.62,0.18,0,0.76,0.04,0,0.43,0.97,0.01,0,N,6_n_Sept_2019,,,,,,,,,,,,,,,,,,
0,2.96,17.29,12.4,0.29,0.31,2.85,2.04,0.24,2.84,1.97,0.46,1.32,18.01,0.05,1.28,0.24,5.63,0.27,0,N,9_n_Aug_2018,,,,,,,,,,,,,,,,,,
0,6.84,60.75,23.78,0.28,0,4.68,1.71,0,0,21.12,0.87,1.41,24.73,1.42,0.8,6.66,2.23,0.7,0.4,N,9_n_June_2018,,,,,,,,,,,,,,,,,,
0,14.1,7.51,52.65,1.96,7.1,6.43,18.26,0.06,2.08,6.34,3.55,1.32,54.69,0.37,1.26,2.39,10.96,0.65,0,N,9_n_Oct_2018,,,,,,,,,,,,,,,,,,
0,0,9.99,4.55,0.41,1.14,0.59,0.33,0,0,0.37,0.06,0.07,5.17,0.19,0,1.05,0.11,0.01,0,N,9_n_Oct_2019,,,,,,,,,,,,,,,,,,
0,0.02,3.33,7.07,0.67,2.14,0.18,1.39,0,1.16,0.39,0.19,0,4.82,0,1.39,1.44,14.62,0.03,0,N,9_n_Sept_2019,,,,,,,,,,,,,,,,,,
