Filename,RRT,Group,Class,MF,Treatment,ID,Year,Month,VOC,ER_final,log_10,Plot,sampling
15.8_h_OCT.CDF,2.549,OVOC,ester,C20H40O2,H,8_h,2018,October,"dodecanoic acid, isooctyl ester",5.26,10.72,8,three
6.3_hxn_OCT.CDF,2.277,HC,alkane,,HxN,3_hxn,2018,October,alkane,5.3,10.72,3,three
9.5_h_OCT.CDF,0.587,HC,alkane,C8H18,H,5_h,2018,October,octane,5.47,10.74,5,three
15.8_h_OCT.CDF,0.919,OVOC,oBz,C7H6O,H,8_h,2018,October,benzaldehyde,5.49,10.74,8,three
15.8_h_OCT.CDF,1.552,HC,alkane,C13H28,H,8_h,2018,October,tridecane,5.53,10.74,8,three
23.19_c_OCT.CDF,2.549,OVOC,ester,C20H40O2,C,19_c,2018,October,"dodecanoic acid, isooctyl ester",5.62,10.75,19,three
17.9_n_OCT.CDF,0.377,HC,Bz,C6H6,N,9_n,2018,October,benzene,5.64,10.75,9,three
15.8_h_OCT.CDF,2.704,OVOC,oBz,C24H38O4,H,8_h,2018,October,diisooctyl phthalate,5.7,10.76,8,three
17.9_n_OCT.CDF,1.133,OVOC,oBz,C8H8O,N,9_n,2018,October,acetophenone,5.76,10.76,9,three
6.3_hxn_OCT.CDF,0.962,HC,Bz,C9H10,HxN,3_hxn,2018,October,a-methylstyrene,5.76,10.76,3,three
21.12_c_OCT.CDF,0.919,OVOC,oBz,C7H6O,C,12_c,2018,October,benzaldehyde,6,10.78,12,three
17.9_n_OCT.CDF,2.549,OVOC,ester,C20H40O2,N,9_n,2018,October,"dodecanoic acid, isooctyl ester",6.12,10.79,9,three
4.2_h_OCT.CDF,2.545,OVOC,ovoc,,H,2_h,2018,October,ovoc,6.23,10.79,2,three
17.9_n_OCT.CDF,0.389,HC,alkane,C7H16,N,9_n,2018,October,3-methyl-hexane,6.3,10.8,9,three
19.11_n_OCT.CDF,2.549,OVOC,ester,C20H40O2,N,11_n,2018,October,"dodecanoic acid, isooctyl ester",6.44,10.81,11,three
11.6_n_OCT.CDF,1.043,OVOC,alcohol,C8H18O,N,6_n,2018,October,2-ethyl-1-hexanol,6.66,10.82,6,three
6.3_hxn_OCT.CDF,1.059,MT,MT,C10H16,HxN,3_hxn,2018,October,d-limonene,6.83,10.83,3,three
11.6_n_OCT.CDF,2.277,HC,alkane,,N,6_n,2018,October,alkane,6.84,10.84,6,three
13.7_hxn_OCT.CDF,1.043,OVOC,alcohol,C8H18O,HxN,7_hxn,2018,October,2-ethyl-1-hexanol,6.93,10.84,7,three
13.7_hxn_OCT.CDF,1.059,MT,MT,C10H16,HxN,7_hxn,2018,October,d-limonene,7.14,10.85,7,three
6.3_hxn_OCT.CDF,1.043,OVOC,alcohol,C8H18O,HxN,3_hxn,2018,October,2-ethyl-1-hexanol,7.19,10.86,3,three
15.8_h_OCT.CDF,1.374,HC,alkane,C12H26,H,8_h,2018,October,dodecane,7.21,10.86,8,three
13.7_hxn_OCT.CDF,0.587,HC,alkane,C8H18,HxN,7_hxn,2018,October,octane,7.27,10.86,7,three
6.3_hxn_OCT.CDF,2.545,OVOC,ovoc,,HxN,3_hxn,2018,October,ovoc,7.51,10.88,3,three
4.2_h_OCT.CDF,2.549,OVOC,ester,C20H40O2,H,2_h,2018,October,"dodecanoic acid, isooctyl ester",7.56,10.88,2,three
19.11_n_OCT.CDF,2.704,OVOC,oBz,C24H38O4,N,11_n,2018,October,diisooctyl phthalate,7.79,10.89,11,three
6.3_hxn_OCT.CDF,2.549,OVOC,ester,C20H40O2,HxN,3_hxn,2018,October,"dodecanoic acid, isooctyl ester",8.32,10.92,3,three
11.6_n_OCT.CDF,2.344,OVOC,alcohol,C16H34O,N,6_n,2018,October,1-hexadecanol,8.79,10.94,6,three
4.2_h_OCT.CDF,1.198,OVOC,aldehyde,C9H18O,H,2_h,2018,October,nonanal,8.89,10.95,2,three
4.2_h_OCT.CDF,0.919,OVOC,oBz,C7H6O,H,2_h,2018,October,benzaldehyde,8.93,10.95,2,three
4.2_h_OCT.CDF,1.043,OVOC,alcohol,C8H18O,H,2_h,2018,October,2-ethyl-1-hexanol,8.98,10.95,2,three
19.11_n_OCT.CDF,1.043,OVOC,alcohol,C8H18O,N,11_n,2018,October,2-ethyl-1-hexanol,9.04,10.96,11,three
6.3_hxn_OCT.CDF,0.919,OVOC,oBz,C7H6O,HxN,3_hxn,2018,October,benzaldehyde,9.2,10.96,3,three
19.11_n_OCT.CDF,0.919,OVOC,oBz,C7H6O,N,11_n,2018,October,benzaldehyde,9.42,10.97,11,three
11.6_n_OCT.CDF,0.919,OVOC,oBz,C7H6O,N,6_n,2018,October,benzaldehyde,9.43,10.97,6,three
11.6_n_OCT.CDF,2.545,OVOC,ovoc,,N,6_n,2018,October,ovoc,9.86,10.99,6,three
9.5_h_OCT.CDF,0.919,OVOC,oBz,C7H6O,H,5_h,2018,October,benzaldehyde,10.48,11.02,5,three
17.9_n_OCT.CDF,1.043,OVOC,alcohol,C8H18O,N,9_n,2018,October,2-ethyl-1-hexanol,10.79,11.03,9,three
6.3_hxn_OCT.CDF,1.198,OVOC,aldehyde,C9H18O,HxN,3_hxn,2018,October,nonanal,10.87,11.04,3,three
15.8_h_OCT.CDF,1.198,OVOC,aldehyde,C9H18O,H,8_h,2018,October,nonanal,11.03,11.04,8,three
15.8_h_OCT.CDF,0.587,HC,alkane,C8H18,H,8_h,2018,October,octane,11.37,11.06,8,three
13.7_hxn_OCT.CDF,0.919,OVOC,oBz,C7H6O,HxN,7_hxn,2018,October,benzaldehyde,11.45,11.06,7,three
11.6_n_OCT.CDF,0.587,HC,alkane,C8H18,N,6_n,2018,October,octane,13.08,11.12,6,three
11.6_n_OCT.CDF,2.549,OVOC,ester,C20H40O2,N,6_n,2018,October,"dodecanoic acid, isooctyl ester",13.08,11.12,6,three
4.2_h_OCT.CDF,0.587,HC,alkane,C8H18,H,2_h,2018,October,octane,13.56,11.13,2,three
6.3_hxn_OCT.CDF,0.587,HC,alkane,C8H18,HxN,3_hxn,2018,October,octane,14.03,11.15,3,three
17.9_n_OCT.CDF,0.382,OVOC,furan,C5H8O,N,9_n,2018,October,2-ethylacrolein,15.49,11.19,9,three
17.9_n_OCT.CDF,0.587,HC,alkane,C8H18,N,9_n,2018,October,octane,16.03,11.21,9,three
15.8_h_OCT.CDF,1.043,OVOC,alcohol,C8H18O,H,8_h,2018,October,2-ethyl-1-hexanol,18.04,11.26,8,three
17.9_n_OCT.CDF,0.919,OVOC,oBz,C7H6O,N,9_n,2018,October,benzaldehyde,18.21,11.26,9,three
19.11_n_OCT.CDF,0.587,HC,alkane,C8H18,N,11_n,2018,October,octane,19.76,11.3,11,three
4.2_h_OCT.CDF,2.704,OVOC,oBz,C24H38O4,H,2_h,2018,October,diisooctyl phthalate,20.84,11.32,2,three
17.9_n_OCT.CDF,2.704,OVOC,oBz,C24H38O4,N,9_n,2018,October,diisooctyl phthalate,24.44,11.39,9,three
6.3_hxn_OCT.CDF,2.704,OVOC,oBz,C24H38O4,HxN,3_hxn,2018,October,diisooctyl phthalate,25.34,11.4,3,three
11.6_n_OCT.CDF,2.704,OVOC,oBz,C24H38O4,N,6_n,2018,October,diisooctyl phthalate,47.89,11.68,6,three
