ID,plot,sampling,treatment,Total_VOCs,CP_crude_protein_nitrogen,rank_crude,ADF_Cellulose_Lignin_Ash,rank_ADF_cellu,NDF_Hemicellulose_Cellulose_Lignin_Ash,rank_ADF_hemi,ADF_NDF,rank_ADF_NDF,cellulose,rank_cellulose,hemicellulose,rank_hemicellulose,Lignin,rank_lignin
6_n_Oct_2018,6,three,N,193.51,10.2,25,42,26,48.8,16,86.1,41,5.75,23,6.8,8,36.25,40
12_c_Oct_2018,12,three,C,37.97,10.9,30,43.2,34,49.4,18,87.5,45,6.87,28,6.2,6,36.33,41
5_h_Aug_2018,5,two,H,81.48,8.7,14,41.4,22,55.6,40,74.4,10,4.76,20,14.2,49,36.64,42
11_n_Oct_2018,11,three,N,126.85,11,31,38.7,17,46.1,9,84,33,1.75,7,7.4,12,36.95,43
19_c_Aug_2018,19,two,C,102.37,12.5,41,41.7,25,54.9,37,76,14,4.75,19,13.2,44,36.95,43
5_h_Oct_2018,5,three,H,93.57,10.4,27,43.8,37,52.1,27,84.1,34,6.8,27,8.3,18,37,44
8_h_Aug_2018,8,two,H,249.6,8.9,16,47,45,53.5,33,87.9,46,9.98,46,6.5,7,37.02,45
19_c_Sept_2019,19,four,C,16.19,11.1,32,43.5,36,55.2,39,78.7,19,6.44,26,11.7,38,37.06,46
4_hxn_Aug_2018,4,two,HxN,225.43,10.1,24,42.3,28,52.3,28,80.8,25,5.23,21,10,27,37.07,47
19_c_Oct_2018,19,three,C,63.87,11.1,32,46.2,44,55.7,41,83.1,31,9,42,9.5,24,37.2,48
11_n_Aug_2018,11,two,N,189.25,12.3,39,39.6,20,48.1,14,82.4,29,2.33,8,8.5,19,37.27,49
6_n_Aug_2018,6,two,N,110.87,9.1,18,41.6,24,52,26,80,22,4.32,17,10.4,30,37.28,50
7_hxn_Oct_2018,7,three,HxN,103.66,11.5,35,37.7,14,48.2,15,78.3,18,0.07,2,10.5,31,37.63,51
8_h_June_2018,8,one,H,241.61,9,17,42.2,27,51.9,25,81.3,27,4.54,18,9.7,26,37.66,52
5_h_Sept_2019,5,four,H,20.35,10.6,28,47.5,46,52,26,91.2,49,9.83,43,4.5,2,37.67,53
9_n_Aug_2018,9,two,N,70.45,11.2,33,37.8,15,48.2,15,78.3,18,0.09,3,10.4,30,37.71,54
19_c_Oct_2019,19,five,C,21.18,8.1,11,32.8,8,45.3,4,72.4,7,0,1,12.5,42,38.54,55
