Filename,RRT,Group,Class,MF,Treatment,ID,Year,Month,VOC,ER_final,log_10,Plot,sampling
10.2386_191101_48_9_n.CDF,0.801,GLV,aldehyde,C7H14O,N,9_n,2019,August,heptanal,0.43,9.64,9,four
10.2386_191101_48_9_n.CDF,0.796,HC,alkane,C9H20,N,9_n,2019,August,nonane,0.53,9.72,9,four
10.2386_191101_48_9_n.CDF,0.995,OVOC,aldehyde,C8H16O,N,9_n,2019,August,octanal,0.64,9.81,9,four
10.2386_191101_48_9_n.CDF,0.44,OTHER,other,,N,9_n,2019,August,other,0.92,9.97,9,four
10.2386_191101_48_9_n.CDF,0.228,ISO,isoprene,C5H8,N,9_n,2019,August,isoprene,1.16,10.06,9,four
10.2386_191101_48_9_n.CDF,0.988,HC,alkane,C10H22,N,9_n,2019,August,decane,1.24,10.09,9,four
11.2387_191101_49_11_n.CDF,1.986,oST,oST,C15H26O,N,11_n,2019,August,nerolidol,2.38,10.38,11,four
11.2387_191101_49_11_n.CDF,2.25,OVOC,ovoc,,N,11_n,2019,August,ovoc,7.93,10.9,11,four
9.2385_191101_47_8_h.CDF,1.362,OVOC,oBz,C10H14O,H,8_h,2019,August,"a,a,4-trimethyl-benzenemethanol",0,5.66,8,four
8.2384_191101_46_7_hxn.CDF,1.362,OVOC,oBz,C10H14O,HxN,7_hxn,2019,August,"a,a,4-trimethyl-benzenemethanol",0,5.82,7,four
3.2378_191101_40_1_c.CDF,1.362,OVOC,oBz,C10H14O,C,1_c,2019,August,"a,a,4-trimethyl-benzenemethanol",0,5.85,1,four
48.2556_191108_42_3_hxn.CDF,0.902,MT,MT,C10H16,HxN,3_hxn,2019,August,a-fenchene,0,5.91,3,four
4.2379_191101_41_2_h.CDF,1.362,OVOC,oBz,C10H14O,H,2_h,2019,August,"a,a,4-trimethyl-benzenemethanol",0,6.19,2,four
5.2381_191101_43_4_hxn.CDF,0.456,OVOC,ester,C5H10O2,HxN,4_hxn,2019,August,"butanoic acid, methyl ester",0,6.2,4,four
7.2383_191101_45_6_n.CDF,1.062,OVOC,oBz,C7H8O,N,6_n,2019,August,benzyl alcohol,0,6.25,6,four
7.2383_191101_45_6_n.CDF,1.168,OVOC,oBz,C9H12O,N,6_n,2019,August,"a,a-dimethyl-benzenemethanol",0,6.3,6,four
48.2556_191108_42_3_hxn.CDF,1.362,OVOC,oBz,C10H14O,HxN,3_hxn,2019,August,"a,a,4-trimethyl-benzenemethanol",0,6.43,3,four
4.2379_191101_41_2_h.CDF,0.902,MT,MT,C10H16,H,2_h,2019,August,a-fenchene,0,6.44,2,four
6.2382_191101_44_5_h.CDF,0.352,OVOC,furan,C5H10O,H,5_h,2019,August,furan,0,6.6,5,four
8.2384_191101_46_7_hxn.CDF,1.846,ST,ST,C15H24,HxN,7_hxn,2019,August,a-humulene,0,6.67,7,four
8.2384_191101_46_7_hxn.CDF,0.352,OVOC,furan,C5H10O,HxN,7_hxn,2019,August,furan,0,6.68,7,four
4.2379_191101_41_2_h.CDF,0.352,OVOC,furan,C5H10O,H,2_h,2019,August,furan,0,6.68,2,four
5.2381_191101_43_4_hxn.CDF,0.352,OVOC,furan,C5H10O,HxN,4_hxn,2019,August,furan,0,6.69,4,four
44.2500_191104_50_12_c.CDF,0.404,OVOC,ketone,C5H10O,C,12_c,2019,August,2-pentanone,0,6.7,12,four
9.2385_191101_47_8_h.CDF,1.846,ST,ST,C15H24,H,8_h,2019,August,a-humulene,0,6.71,8,four
6.2382_191101_44_5_h.CDF,1.852,ST,ST,C15H24,H,5_h,2019,August,st,0,6.81,5,four
7.2383_191101_45_6_n.CDF,0.352,OVOC,furan,C5H10O,N,6_n,2019,August,furan,0,6.86,6,four
4.2379_191101_41_2_h.CDF,0.77,OVOC,acid,C6H8O2,H,2_h,2019,August,sorbic acid,0,6.88,2,four
7.2383_191101_45_6_n.CDF,1.861,ST,ST,C15H24,N,6_n,2019,August,trans-a-bisabolene,0,6.96,6,four
4.2379_191101_41_2_h.CDF,0.82,OTHER,other,,H,2_h,2019,August,other,0,6.99,2,four
4.2379_191101_41_2_h.CDF,1.861,ST,ST,C15H24,H,2_h,2019,August,trans-a-bisabolene,0,7.07,2,four
3.2378_191101_40_1_c.CDF,0.352,OVOC,furan,C5H10O,C,1_c,2019,August,furan,0,7.09,1,four
7.2383_191101_45_6_n.CDF,0.958,MT,MT,C10H16,N,6_n,2019,August,b-pinene,0,7.13,6,four
44.2500_191104_50_12_c.CDF,0.352,OVOC,furan,C5H10O,C,12_c,2019,August,furan,0,7.14,12,four
9.2385_191101_47_8_h.CDF,1.215,oMT,oMT,C10H16O,H,8_h,2019,August,b-thujone,0,7.18,8,four
7.2383_191101_45_6_n.CDF,1.162,HC,Bz,C10H12,N,6_n,2019,August,bz,0,7.19,6,four
9.2385_191101_47_8_h.CDF,0.547,OVOC,ester,C6H12O2,H,8_h,2019,August,"butanoic acid, 2-methyl-, methyl ester",0,7.25,8,four
4.2379_191101_41_2_h.CDF,0.781,HC,Bz,C8H10,H,2_h,2019,August,o-xylene,0,7.27,2,four
44.2500_191104_50_12_c.CDF,1.507,OTHER,nitro,C8H7N,C,12_c,2019,August,indole,0,7.29,12,four
6.2382_191101_44_5_h.CDF,0.902,MT,MT,C10H16,H,5_h,2019,August,a-fenchene,0,7.29,5,four
5.2381_191101_43_4_hxn.CDF,0.567,HC,alkane,C8H16,HxN,4_hxn,2019,August,3-methylene-heptane,0,7.34,4,four
9.2385_191101_47_8_h.CDF,0.352,OVOC,furan,C5H10O,H,8_h,2019,August,furan,0,7.34,8,four
7.2383_191101_45_6_n.CDF,1.084,HC,alkane,,N,6_n,2019,August,alkane,0,7.35,6,four
5.2381_191101_43_4_hxn.CDF,0.902,MT,MT,C10H16,HxN,4_hxn,2019,August,a-fenchene,0,7.42,4,four
6.2382_191101_44_5_h.CDF,0.82,OTHER,other,,H,5_h,2019,August,other,0,7.42,5,four
8.2384_191101_46_7_hxn.CDF,0.313,OVOC,furan,C5H6O,HxN,7_hxn,2019,August,2-methylfuran,0,7.43,7,four
4.2379_191101_41_2_h.CDF,0.863,OTHER,other,,H,2_h,2019,August,other,0,7.45,2,four
5.2381_191101_43_4_hxn.CDF,1.507,OTHER,nitro,C8H7N,HxN,4_hxn,2019,August,indole,0,7.47,4,four
5.2381_191101_43_4_hxn.CDF,1.861,ST,ST,C15H24,HxN,4_hxn,2019,August,trans-a-bisabolene,0,7.47,4,four
3.2378_191101_40_1_c.CDF,1.861,ST,ST,C15H24,C,1_c,2019,August,trans-a-bisabolene,0,7.48,1,four
44.2500_191104_50_12_c.CDF,1.177,MT,MT,C10H16,C,12_c,2019,August,terpinolene,0,7.54,12,four
44.2500_191104_50_12_c.CDF,0.9,MT,MT,C10H16,C,12_c,2019,August,camphene,0,7.55,12,four
44.2500_191104_50_12_c.CDF,0.902,MT,MT,C10H16,C,12_c,2019,August,a-fenchene,0,7.55,12,four
4.2379_191101_41_2_h.CDF,0.797,OVOC,ovoc,C7H12O,H,2_h,2019,August,ovoc,0,7.56,2,four
