CP_crude_protein_nitrogen,ADF_Cellulose_Lignin_Ash,NDF_Hemicellulose_Cellulose_Lignin_Ash,ADF_NDF,cellulose,hemicellulose,Lignin,Ca,P,Mg,K,Na,Fe,Mn,Zn,Cu,temp,HF_rel_humidity,HF_precipitation,respiration,percent_moisture,Temp_T0,thickness_OM,treatment,ID,sampling,Total_VOCs
4.6,66,68.7,96.1,53.75,2.7,12.25,0.19,0.1,0.12,0.13,0.02,8670,347,34,9,25.09,75.39,0,418.5794733,9.1,27,3.4,HxN,3_hxn_Aug_2018,two,138.69
5.6,52.5,58.4,89.9,26.2,5.9,26.3,0.42,0.07,0.13,0.11,0.01,3936,488,35,8,25.49,75.39,0,529.5086597,5.5,26.3,3.6,HxN,3_hxn_June_2018,one,53.29
9.5,44.7,55.2,81.1,13.4,10.5,31.3,0.57,0.11,0.11,0.14,0.01,2205,581,37,10,25.51,75.39,0,195.3879127,10.2,9.9,3.4,HxN,3_hxn_Oct_2018,three,187.59
11.1,32.6,45.5,71.6,4.04,12.9,28.56,0.54,0.12,0.16,0.39,0.01,1348,575,33,8,25.62,75.39,0,110.0119981,7.6,11.3,3.12,HxN,3_hxn_Oct_2019,five,104.17
5.1,61.7,67.3,91.7,46.93,5.6,14.77,0.26,0.1,0.15,0.14,0.02,8348,498,37,10,25.85,75.39,0,404.3922443,3.3,21.5,3.04,HxN,3_hxn_Sept_2019,four,102.09
10.1,42.3,52.3,80.8,5.23,10,37.07,0.48,0.09,0.07,0.1,0.01,1348,532,33,8,14.65,97.41,0,517.7032661,7.3,26.7,5.42,HxN,4_hxn_Aug_2018,two,225.43
8.4,43.1,54.4,79.2,8.2,11.3,34.9,0.55,0.09,0.1,0.19,0,178,453,35,6,15.02,97.41,0,514.4513774,3.7,27.2,5.3,HxN,4_hxn_June_2018,one,332.78
9.6,34.5,45.4,75.9,1.67,10.9,32.83,0.47,0.1,0.12,0.17,0.01,501,428,33,8,15.39,97.41,0,118.7194488,12.3,11.1,3.6,HxN,4_hxn_Oct_2019,five,39.48
11.2,44.5,55.1,80.8,8.52,10.6,35.98,0.54,0.12,0.09,0.13,0,272,497,41,8,15.92,97.41,0,331.1715607,6.9,21.7,3.64,HxN,4_hxn_Sept_2019,four,3.12
9.8,43.4,50.6,85.8,9.87,7.2,33.53,0.51,0.1,0.06,0.1,0.01,932,534,35,7,16.05,97.41,0,348.0908952,16.3,25.3,4.32,HxN,7_hxn_Aug_2018,two,137.02
9.2,45.5,54.3,83.8,14.4,8.8,31.1,0.51,0.1,0.09,0.1,0.01,1347,560,37,8,16.13,97.41,0,242.6337033,9.5,26.7,4.2,HxN,7_hxn_June_2018,one,98.57
11.5,37.7,48.2,78.3,0.07,10.5,37.63,0.4,0.12,0.07,0.14,0.01,1061,542,34,8,19.25,97.41,0,117.726585,20.3,10.1,4.32,HxN,7_hxn_Oct_2018,three,103.66
6.7,31.9,45.9,69.4,6.12,14,25.78,0.51,0.11,0.13,0.24,0.01,1049,523,35,7,19.96,97.41,0,81.675594,14.5,11.3,4.52,HxN,7_hxn_Oct_2019,five,32.9
11.1,46.1,53.4,86.3,11.13,7.3,34.97,0.63,0.12,0.1,0.11,0,250,620,40,8,20.13,97.41,0,139.9051574,3.3,21.5,4.28,HxN,7_hxn_Sept_2019,four,13.93
12.3,39.6,48.1,82.4,2.33,8.5,37.27,0.53,0.11,0.09,0.14,0,218,387,40,8,20.26,97.41,0,472.864392,23.6,23.7,3.8,N,11_n_Aug_2018,two,189.25
11,38.7,46.1,84,1.75,7.4,36.95,0.56,0.12,0.09,0.13,0.01,430,523,38,9,20.72,97.41,0,149.5479586,32.6,11.3,3.8,N,11_n_Oct_2018,three,126.85
6.1,28.5,37.8,75.5,4.75,9.3,23.75,0.57,0.13,0.16,0.2,0.01,168,594,32,7,17.76,88.05,0.21,112.4911308,13.8,10.9,3.92,N,11_n_Oct_2019,five,55.36
11.9,42.6,50.1,85,7.63,7.5,34.97,0.63,0.12,0.11,0.11,0,256,589,43,8,18.52,88.05,0.21,259.1603895,7.7,21.5,3.74,N,11_n_Sept_2019,four,89.4
9.1,41.6,52,80,4.32,10.4,37.28,0.55,0.08,0.07,0.09,0,157,472,34,6,18.7,88.05,0.21,378.9254589,15.2,25,3.3,N,6_n_Aug_2018,two,110.87
7.7,39.2,48.8,80.5,7.68,9.6,31.52,0.6,0.07,0.1,0.1,0,551,358,35,7,18.7,88.05,0.21,341.767442,17.8,26.4,3.5,N,6_n_June_2018,one,152.73
10.2,42,48.8,86.1,5.75,6.8,36.25,0.6,0.11,0.07,0.13,0.01,265,490,37,7,18.7,88.05,0.21,128.7514388,20.7,11.3,3.3,N,6_n_Oct_2018,three,193.51
8.1,32.2,42.8,75.2,1.46,10.6,30.74,0.52,0.13,0.14,0.34,0.01,188,482,32,8,18.7,88.05,0.21,78.49332691,23.6,10.8,5.16,N,6_n_Oct_2019,five,121.29
10.6,43.5,51.1,85.1,8.84,7.6,34.66,0.59,0.11,0.12,0.19,0,543,607,44,9,23.55,88.05,0.21,165.1548619,10.9,21.5,5.3,N,6_n_Sept_2019,four,21.14
11.2,37.8,48.2,78.3,0.09,10.4,37.71,0.49,0.1,0.1,0.12,0,288,426,38,8,23.6,88.05,0.21,527.9562288,14.2,24,4.3,N,9_n_Aug_2018,two,70.45
8.7,38.6,50.1,77.2,2.52,11.5,36.08,0.52,0.09,0.1,0.1,0,200,480,38,9,23.64,88.05,0.21,587.6534664,12,26.7,4.2,N,9_n_June_2018,one,158.38
12.2,37.1,50.6,73.3,3.16,13.5,33.94,0.43,0.14,0.13,0.44,0.01,160,400,37,9,23.68,88.05,0.21,205.3230379,22.8,9.8,4.3,N,9_n_Oct_2018,three,191.68
7.2,32.2,46.4,69.3,1.24,14.2,30.96,0.48,0.09,0.15,0.26,0.01,123,432,30,6,23.72,88.05,0.21,122.4392289,14.9,11.4,4.58,N,9_n_Oct_2019,five,24.04
10.3,44.9,51.9,86.6,9.96,7,34.94,0.64,0.11,0.12,0.14,0,394,432,41,8,23.77,88.05,0.21,278.3629649,6.6,21.4,4.32,N,9_n_Sept_2019,four,38.84
