"RRT"	"Group"	"Class"	"Exclude"	"MF"	"VOC"	"X10.11_n_JUN.CDF"	"X1.1_c_JUN.CDF"	"X2.2_h_JUN.CDF"	"X3.3_hxn_JUN.CDF"	"X4.4_hxn_JUN.CDF"	"X5.5_h_JUN.CDF"	"X6.6_n_JUN.CDF"	"X7.7_hxn_JUN.CDF"	"X8.8_h_JUN.CDF"	"X9.9_n_JUN.CDF"	"X11.12_c_JUN.CDF"	"X12.19_c_JUN.CDF"	"X13.Blank_JUN.CDF"	"X1.1_c_AUG.CDF"	"X2.1_c_OCT.CDF"	"X3.2_h_AUG.CDF"	"X4.2_h_OCT.CDF"	"X5.3_hxn_AUG.CDF"	"X6.3_hxn_OCT.CDF"	"X8.5_h_AUG.CDF"	"X9.5_h_OCT.CDF"	"X10.6_n_AUG.CDF"	"X11.6_n_OCT.CDF"	"X12.7_hxn_AUG.CDF"	"X13.7_hxn_OCT.CDF"	"X14.8_h_AUG.CDF"	"X15.8_h_OCT.CDF"	"X16.9_n_AUG.CDF"	"X17.9_n_OCT.CDF"	"X18.11_n_AUG.CDF"	"X19.11_n_OCT.CDF"	"X20.12_c_AUG.CDF"	"X21.12_c_OCT.CDF"	"X22.19_c_AUG.CDF"	"X23.19_c_OCT.CDF"	"X24.Blank_AUG.CDF"	"X25.Blank_OCT.CDF"	"X7.4_hxn_AUG.CDF"	"Year"
1.215	"oMT"	"oMT"	""	"C10H16O"	"omt"	0	0.051667979	0.080685796	0.030242253	0.09955493	0.048539575	0.107375313	0.06820053	0.092272977	0.085505466	0.081875941	0.0378086	0.051011932	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018
1.277	"OTHER"	"other"	""	""	"ovoc"	16.02419775	2.843534359	2.625378171	4.305618467	2.834808295	2.618567724	2.550198513	2.788465484	2.879016696	4.694837279	0.153291635	2.084587908	1.931460623	0.002565139	0.002419205	0.004631169	0.008795677	0.011742678	0.014357853	0.006087029	0.003111394	0.004207455	0.013442625	0.007737684	0.009899951	0.01252113	0.014105376	0.005597721	0.009417908	0.007349926	0.008019916	0.000705696	0.002691263	0.007202012	0.001794941	0.001075097	0.000930142	0.01444603	2018
1.278	"OTHER"	"other"	""	""	"ovoc"	15.95074807	2.452747074	2.076915261	3.513862285	2.036018116	1.90198759	1.777216073	2.356029317	1.70106802	3.843114112	0.084456583	1.536018475	1.490597117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018
1.331	"OVOC"	"ovoc"	""	"C10H22O2"	"octanal dimethyl acetal"	0.021510213	0.007277991	0.01168346	0.002709391	0.001781016	0.002999539	0.014724575	0.009360626	0.019071336	0.007465325	0.009024828	0.002474119	0.006181196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000100908	0	0	0	0.000905338	0	0	2018
1.34	"oMT"	"oMT"	""	"C10H20O"	"levomenthol"	2.889681159	0.296063553	0.265908618	0.417782277	0.424442428	0.285168024	0.291505106	0.319099301	0.299059591	0.568426333	0.052835684	0.27602851	0.300168238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018
1.351	"GLV"	"ester"	""	"C10H18O2"	"cis-3-hexenyl butyrate"	1.706650259	0.551322506	0.27096169	0.15120192	0.1952064	0.095252508	0.185657627	0.197253561	0.19724649	0.182118223	0.164150396	0.090627585	0.105019056	0	0.001792717	0	0	0	0.013703919	0	0.004901216	0	0	0.006312385	0	0	0.018304481	0	0.012860563	0	0	0	0.002146978	0	0	0.033968664	0.020187282	0.012402879	2018
1.361	"MT"	"MT"	""	"C10H12"	"mt"	0.092240609	0	0.0097542	0	0.001241627	8.4631e-05	0.015433667	0.05737366	0.013184257	0	0.016147905	0.000652115	0.004621921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018
1.365	"OVOC"	"oBz"	""	"C9H10O"	"1-(3-methylphenyl)-ethanone"	0.917972863	0.180720892	0.506236315	0.119105411	0.168334692	0.135381223	0.590723568	0.659392949	0.498552979	0.294458028	0.921867238	0.144306763	0.310703015	0.014174521	0.007999364	0.028911777	0.01323789	0.011727856	0.015228434	0.008740712	0.017713634	0.023796411	0.006590248	0.020006211	0.015505294	0.008335626	0.006048761	0.012440835	0.031186832	0.017768177	0.019252047	0.006837558	0.006925396	0.009419906	0.007248636	0.081510611	0.016601327	1.107700959	2018
1.374	"HC"	"alkane"	""	"C12H26"	"dodecane"	23.27905206	1.148774541	1.293867736	1.540513526	3.224002509	1.09842111	1.4448379	1.423868154	2.177894747	2.592625442	1.042520278	1.282251659	1.414648323	0.872201711	0.567345198	0.633755914	2.71787006	1.237460147	1.447349803	0.821589211	1.341575635	0.881163885	3.761359017	1.051366381	4.653547356	5.754813793	6.118392888	0.520174538	1.711600466	1.256295862	2.272485284	0.306018953	0.508662932	6.520364662	1.067287463	0.565015	0.322169272	1.2778164	2018
1.375	"OVOC"	"oBz"	""	"C11H16O"	"obz"	6.180893874	0.693507702	1.64551581	0.6179977	1.446729114	0.662396154	1.685619722	1.919811925	2.022900779	1.152152819	4.916325764	0.7070118	1.416557286	0.002642939	0	0	0.004533679	0.019664383	0.003114611	0.005769061	0	0.012824102	0.001452758	0.00855413	0.005500866	0.009598526	0	0.002237913	0.004006348	0	0.008032425	0	0	0	0	0	0	0.058057833	2018
1.386	"OVOC"	"oBz"	""	"C8H8O3"	"methyl salicylate"	0.960483693	0.965141914	0.304907336	0.15076673	0.70103656	0.083628112	0.110400325	0.186656346	0.063871021	0.262069197	0.113551256	0.047806678	0.042933185	0.074725634	0.033846554	0.021113612	0.036644793	0.067801083	0.072783147	0.035585007	0.021611947	0.033167987	0.052062856	0.038572499	0.032268224	0.130421039	0.086382083	0.035919082	0.032237059	0.025603818	0.025486302	0.02093168	0.015904574	0.051846101	0.020420149	0.153852714	0.082264132	0.148122695	2018
1.388	"OVOC"	"aldehyde"	""	"C10H20O"	"decanal"	62.80327062	5.060753479	7.15282633	8.813370554	22.39125826	5.616392824	11.6435056	8.628023408	8.667852834	17.70908056	12.32127407	8.655910676	4.426812258	1.901911226	1.840127939	1.461309271	3.556408103	4.046553828	6.188396337	2.21417321	2.324665403	2.838597486	4.971715621	3.384190081	2.451578849	10.93439879	6.45488521	4.207857975	3.26248388	2.834044257	2.721424656	0.754890994	1.114050495	2.490304067	1.641387544	1.828865873	2.949955656	3.479392726	2018
1.424	"OVOC"	"oBz"	""	"C8H10O2"	"2-phenoxy-ethanol"	6.284295082	1.360594972	2.051224384	1.196402187	0.975405004	1.099721132	1.494123189	2.090166764	9.03591545	5.676345026	3.666041516	1.020129532	1.498818821	0.498299873	0.321035571	0.30740932	0.457952001	0.882044281	0.357449969	0.500406628	0.317592036	0.334328065	0.571425429	0.809400278	0.339238356	1.383805697	0.799033494	0.280575778	0.530045597	0.268208087	0.481137106	0.165196408	0.114042812	0.495690963	0.257249602	0.51868567	0.120297951	0.773195425	2018
1.442	"GLV"	"ester"	""	"C11H22O2"	"butanoic acid, 2-methyl-, hexyl ester"	14.48609605	0.002464951	0.002080347	0.00374081	0.004156537	0.002191848	0.002079857	0.001884201	0.00570453	0.00217862	0.019671133	0.005265299	0.002447828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018
1.461	"OTHER"	"sulfo"	""	"C7H11NS"	"isothiocyanato-cyclohexane"	0.112720923	0.008431963	0.016119991	0.009370374	0.914353158	0.013354989	0.034492989	0.012928915	0.006980947	0.325780191	0.157947339	0.015527811	0.007684213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018
1.48	"oMT"	"oMT"	""	""	"omt"	0	0.001559822	0.015205657	0.005330204	0.006782265	0.007475517	0.025692223	0.017411919	0.041337246	0.02835402	0.043975032	0.002696562	0.009870276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018
1.482	"OVOC"	"oBz"	""	"C10H12O2"	"thymoquinone"	0	0	0.00463007	0	0	0	0.009288033	0.013507809	0.021582783	0.004147137	0.004395116	0	0	0.190136727	0.035637073	0.031025716	0.04585623	0.441612346	0.080265105	0.12546197	0.030539465	0.230836865	0.057296183	0.063081675	0.05971595	0.102833473	0.072065715	0.06391974	0.028325835	0.039994452	0.039302864	0.015544184	0.014205434	0.037416863	0.029103317	0.025217096	0.019418392	0.334857896	2018
1.511	"OVOC"	"ovoc"	""	""	"ovoc"	0.60691011	0.03077078	0.050293695	0.03396785	0.404769012	0.030769982	0.077306256	0.055900114	0.085559614	0.185539841	0.066334017	0.042465567	0.035202663	0	0	0	0.000918252	0.001068525	0.043569555	0	0	0.000475395	0.011874012	0.002472659	0	0.004013889	0.005549309	0	0.003636444	0.000293552	0.00304409	0	0	0	0	0	0	0.002963294	2018
